LineNumber;OrderItemId;OrderId;BuyerName;BuyerEmail;Address;PostCode;SalePrice;ShippingPrice;SKU;Status;OrderDate
a;a;b;;aaaa;;fgh;as;fgh;;asd; 
1;2;3;ssdf fdse;a@b;dasdad;123;0.8;-2.8;dasdasf;in_stock;20171223
2;3;4;gdsgdg grtgt;a@b.c;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
3;3;4;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;32;0.00;fdfdsafg;out_of_stock;2018-01-20
4;3;4;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;79;0.50;fdfdsafg;in_stock;2018-01-2
5;4;5;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;22;0.00;fdfdsafg;in_stock;2018-01-20
6;5;6;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;15;6.00;fdfdsafg;out_of_stock;2018-01-20
7;6;7;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;12;1.00;fdfdsafg;in_of_stock;2018-01-20
8;7;4;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;10;0.00;fdfdsafg;out_of_stock;2018-01-20
9;8;4;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;41;0.50;fdfdsafg;in_stock;2018-01-12
10;9;5;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;19;0.00;fdfdsafg;out_of_stock;2018-01-20
11;1`0;6;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;15;6.00;fdfdsafg;in_of_stock;2018-01-20
12;11;7;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;20.7;1.00;fdfdsafg;out_of_stock;2018-01-20
13;12;8;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;in_of_stock;2018-01-20
14;13;9;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.7;0.50;fdfdsafg;in_stock;2018-01-22
15;14;1`0;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
16;15;11;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;6.5;6.00;fdfdsafg;in_of_stock;2018-01-20
17;16;12;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;1.00;fdfdsafg;out_of_stock;2018-01-20
18;17;13;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
19;18;14;gdsgdg grtgt;valaki@valami.hu;fgewhtrwhr;23124;3.7;0.50;fdfdsafg;in_stock;2018-01-12
20;19;15;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;3.7;0.00;fdfdsafg;out_of_stock;2018-01-20
21;20;16;gdsgdg grtgt;valaki@freemail.hu;fgewhtrwhr;23124;6.5;6.00;fdfdsafg;in_of_stock;2018-01-20
